ปี,เทอม,ระบบ,สถานที่จัดการเรียน,คณะ,สาขา,หลักสูตร,รหัสวิชา,ชื่อวิชา,ตอนเรียน,แผ่นที่,ระดับ,จำนวน
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,นิเทศศาสตร์,นิเทศศาสตรบัณฑิต,3023413-01,การสื่อข่าวและรายงานข่าวยุคใหม่,A1,667,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,นิเทศศาสตร์,นิเทศศาสตรบัณฑิต,3023413-01,การสื่อข่าวและรายงานข่าวยุคใหม่,A1,668,ปริญญาตรี,16
2562,1,AEC,ศูนย์การศึกษานอกที่ตั้ง ลำปาง,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,1500121-01,ภาษาอังกฤษเพื่อการสะท้อนคิด,LA,668,ปริญญาตรี,12
2562,1,AEC,ศูนย์การศึกษานอกที่ตั้ง ลำปาง,โรงเรียนการเรือน,เทคโนโลยีการประกอบอาหารและการบริการ,วิทยาศาสตรบัณฑิต,1500121-01,ภาษาอังกฤษเพื่อการสะท้อนคิด,LA,668,ปริญญาตรี,10
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,นิเทศศาสตร์,นิเทศศาสตรบัณฑิต,3033304-01,การสร้างสรรค์กิจกรรมพิเศษ,A1,669,ปริญญาตรี,19
2562,1,AEC,ศูนย์การศึกษานอกที่ตั้ง ลำปาง,โรงเรียนการเรือน,เทคโนโลยีการประกอบอาหารและการบริการ,วิทยาศาสตรบัณฑิต,1500121-01,ภาษาอังกฤษเพื่อการสะท้อนคิด,LA,669,ปริญญาตรี,7
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,นิเทศศาสตร์,นิเทศศาสตรบัณฑิต,3033405-01,การผลิตกราฟิกเพื่องานประชาสัมพันธ์,A1,670,ปริญญาตรี,19
2562,1,AEC,ศูนย์การศึกษานอกที่ตั้ง ลำปาง,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,2500116-01,สังคมอารยชน,LA,670,ปริญญาตรี,10
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,นิเทศศาสตร์,นิเทศศาสตรบัณฑิต,3033405-01,การผลิตกราฟิกเพื่องานประชาสัมพันธ์,B1,671,ปริญญาตรี,22
2562,1,AEC,ศูนย์การศึกษานอกที่ตั้ง ลำปาง,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,2500116-01,สังคมอารยชน,LA,671,ปริญญาตรี,3
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,นิเทศศาสตร์,นิเทศศาสตรบัณฑิต,3033405-01,การผลิตกราฟิกเพื่องานประชาสัมพันธ์,B1,672,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,นิเทศศาสตร์,นิเทศศาสตรบัณฑิต,3033405-01,การผลิตกราฟิกเพื่องานประชาสัมพันธ์,B1,673,ปริญญาตรี,5
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,นิเทศศาสตร์,นิเทศศาสตรบัณฑิต,3033509-01,การบริหารจัดการงานประชาสัมพันธ์,A1,674,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,นิเทศศาสตร์,นิเทศศาสตรบัณฑิต,3033509-01,การบริหารจัดการงานประชาสัมพันธ์,A1,675,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,นิเทศศาสตร์,นิเทศศาสตรบัณฑิต,3033509-01,การบริหารจัดการงานประชาสัมพันธ์,A1,676,ปริญญาตรี,2
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,นิเทศศาสตร์,นิเทศศาสตรบัณฑิต,3033510-01,การสร้างภาพลักษณ์องค์กร,A1,677,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,นิเทศศาสตร์,นิเทศศาสตรบัณฑิต,3033510-01,การสร้างภาพลักษณ์องค์กร,A1,678,ปริญญาตรี,11
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,นิเทศศาสตร์,นิเทศศาสตรบัณฑิต,3034302-01,การประชาสัมพันธ์เพื่อการตลาด,A1,679,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,นิเทศศาสตร์,นิเทศศาสตรบัณฑิต,3034302-01,การประชาสัมพันธ์เพื่อการตลาด,A1,680,ปริญญาตรี,22
